# aut kill-criterion ledger — phase 0 (READ-ONLY run) — generated 2026-07-05T22:55:04.638654
cohort	class	slot_count	aut_order	orbit_count	nontrivial_orbits	substitution_hits	observations	verdict	surfaces
middle_strata	Base_Treeshell_Family_Agent_Domain	4	1	4	0	0	0	TRIVIAL_AUT	graph
middle_strata	Base_Treeshell_Family_Agent_Management	4	1	4	0	0	0	TRIVIAL_AUT	graph
middle_strata	Base_Treeshell_Family_Agent_Management_Approvals	4	1	4	0	0	0	TRIVIAL_AUT	graph
middle_strata	Base_Treeshell_Family_Agent_Management_Equipment	4	1	4	0	0	0	TRIVIAL_AUT	graph
middle_strata	Base_Treeshell_Family_Agent_Management_Equipment_Carton_Identity	4	1	4	0	0	0	TRIVIAL_AUT	graph
middle_strata	Base_Treeshell_Family_Agent_Management_Equipment_Config	4	1	4	0	0	0	TRIVIAL_AUT	graph
middle_strata	Base_Treeshell_Family_Agent_Management_Equipment_Max_Tokens	4	1	4	0	0	0	TRIVIAL_AUT	graph
middle_strata	Base_Treeshell_Family_Agent_Management_Equipment_Mcp_Servers	4	1	4	0	0	0	TRIVIAL_AUT	graph
middle_strata	Base_Treeshell_Family_Agent_Management_Equipment_Mcp_Set	4	1	4	0	0	0	TRIVIAL_AUT	graph
middle_strata	Base_Treeshell_Family_Agent_Management_Equipment_Model	4	1	4	0	0	0	TRIVIAL_AUT	graph
middle_strata	Base_Treeshell_Family_Agent_Management_Equipment_Persona	4	1	4	0	0	0	TRIVIAL_AUT	graph
middle_strata	Base_Treeshell_Family_Agent_Management_Equipment_Prompt_Blocks	4	1	4	0	0	0	TRIVIAL_AUT	graph
middle_strata	Base_Treeshell_Family_Agent_Management_Equipment_Skillset	4	1	4	0	0	0	TRIVIAL_AUT	graph
middle_strata	Base_Treeshell_Family_Agent_Management_Equipment_System_Prompts	4	1	4	0	0	0	TRIVIAL_AUT	graph
middle_strata	Base_Treeshell_Family_Agent_Management_Equipment_System_Provider	4	1	4	0	0	0	TRIVIAL_AUT	graph
middle_strata	Base_Treeshell_Family_Agent_Management_Equipment_Temperature	4	1	4	0	0	0	TRIVIAL_AUT	graph
middle_strata	Base_Treeshell_Family_Agent_Management_Equipment_Thinking_Budget	4	1	4	0	0	0	TRIVIAL_AUT	graph
middle_strata	Base_Treeshell_Family_Agent_Management_Equipment_Tools	4	1	4	0	0	0	TRIVIAL_AUT	graph
middle_strata	Base_Treeshell_Family_Agent_Management_Equipment_Utils	4	1	4	0	0	0	TRIVIAL_AUT	graph
middle_strata	Base_Treeshell_Family_Automations	4	1	4	0	0	0	TRIVIAL_AUT	graph
middle_strata	Base_Treeshell_Family_Conversations	4	1	4	0	0	0	TRIVIAL_AUT	graph
middle_strata	Base_Treeshell_Family_Crystal_Forest	4	1	4	0	0	0	TRIVIAL_AUT	graph
middle_strata	Base_Treeshell_Family_Development	4	1	4	0	0	0	TRIVIAL_AUT	graph
middle_strata	Base_Treeshell_Family_Gnosys	4	1	4	0	0	0	TRIVIAL_AUT	graph
middle_strata	Base_Treeshell_Family_Landing	4	1	4	0	0	0	TRIVIAL_AUT	graph
definition_bearing	Hypercluster_Template	8	1	8	0	0	0	TRIVIAL_AUT	graph
definition_bearing	Inclusion_Map_Pattern	8	1	8	0	0	0	TRIVIAL_AUT	graph
definition_bearing	Preflight_Skill_Template	5	1	5	0	0	0	TRIVIAL_AUT	graph
definition_bearing	Skill_Template	26	1	26	0	0	0	TRIVIAL_AUT	graph
definition_bearing	Skillspec_Template	13	1	13	0	0	0	TRIVIAL_AUT	graph
definition_bearing	Stp_Skill_Template	5	1	5	0	0	0	TRIVIAL_AUT	graph
definition_bearing	Understand_Skill_Template	5	1	5	0	0	0	TRIVIAL_AUT	graph
definition_bearing	Agent	6	1	6	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Ariadne_Chain	2	1	2	0	0	0	TRIVIAL_AUT	owl
definition_bearing	Aut	4	1	4	0	0	0	TRIVIAL_AUT	graph
definition_bearing	Bug	8	1	8	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Cave_Agent	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Cat	8	1	8	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Change_Spec	2	1	2	0	0	0	TRIVIAL_AUT	owl
definition_bearing	Claude_Code_Rule	7	1	7	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Code_File	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
